gene,uniprot,text_call,confidence,text_dead_final,rationale_pass2,func_excerpt
RAB2A,P61019,active,high,False,,"The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles"
RAB15,P59190,active,high,False,,"The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles"
RAB10,P61026,active,high,False,,"The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles"
RAB2B,Q8WUD1,active,high,False,,"The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles"
NRAS,P01111,active,high,False,,Signal transducer in the Ras-MAPK signaling pathway that regulates cell proliferation and survival. Ras proteins bind GD
RAB6B,Q9NRW1,active,high,False,,"The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles"
RAB3A,P20336,active,high,False,,"The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles"
RAB6A,P20340,ambiguous,low,False,,"The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles"
RAB3B,P20337,ambiguous,low,False,,"The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles"
RAB3D,O95716,active,high,False,,"The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles"
RAB5A,P20339,active,high,False,,"The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles"
RAB5C,P51148,active,high,False,,"The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles"
RAB3C,Q96E17,ambiguous,low,False,,"The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles"
RAB12,Q6IQ22,active,high,False,,"The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles"
RHOH,Q15669,active,high,False,,"Negative regulator of hematopoietic progenitor cell proliferation, survival and migration. Critical regulator of thymocy"
RND2,P52198,ambiguous,med,False,,May be specifically involved in neuronal and hepatic functions. Is a C3 toxin-insensitive member of the Rho subfamily (B
RAB5B,P61020,active,high,False,,"The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles"
RAB26,Q9ULW5,active,high,False,,"The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles"
RAB14,P61106,active,high,False,,"The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles"
RAB11B,Q15907,active,high,False,,"The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles"
RAB37,Q96AX2,active,high,False,,"The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles"
RAB11A,P62491,active,high,False,,"The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles"
RAB39B,Q96DA2,ambiguous,med,False,,"The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles"
RALB,P11234,active,high,False,,"Multifunctional GTPase involved in a variety of cellular processes including gene expression, cell migration, cell proli"
RALA,P11233,active,high,False,,"Multifunctional GTPase involved in a variety of cellular processes including gene expression, cell migration, cell proli"
RAB43,Q86YS6,active,high,False,,"The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles"
RAB18,Q9NP72,ambiguous,low,False,,"The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles"
RAB30,Q15771,ambiguous,low,False,,"The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles"
RRAS2,P62070,active,high,False,,"GTP-binding protein with GTPase activity, involved in the regulation of MAPK signaling pathway and thereby controlling m"
RAB21,Q9UL25,active,high,False,,"The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles"
RAB19,A4D1S5,active,high,False,,"The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles"
RAB31,Q13636,active,high,False,,"The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles"
RAB4B,P61018,active,high,False,,"The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles"
RAB9B,Q9NP90,active,high,False,,"The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles"
RAB4A,P20338,active,high,False,,"The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles"
RAB39A,Q14964,ambiguous,low,False,,"The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles"
RIT1,Q92963,active,high,False,,Plays a crucial role in coupling nerve growth factor (NGF) stimulation to the activation of both EPHB2 and MAPK14 signal
RAB7A,P51149,ambiguous,low,False,,"The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles"
RASEF,Q8IZ41,inactive,high,False,Describes active GTPase/dynein adapter function; no statement of lost catalytic activity,"[Isoform 1]: Rab GTPase that acts as a dynein adapter protein, thereby activating dynein-mediated transport and dynein-d"
RAB41,Q5JT25,active,high,False,,"The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles"
RAB23,Q9ULC3,active,high,False,,"The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles"
RAB9A,P51151,active,high,False,,"The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles"
RND1,Q92730,inactive,high,True,Explicitly states protein lacks intrinsic GTPase activity,"Lacks intrinsic GTPase activity. Has a low affinity for GDP, and constitutively binds GTP. Controls rearrangements of th"
RAB22A,Q9UL26,active,high,False,,"The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles"
MRAS,O14807,ambiguous,med,False,,Signal transducer in the Ras-MAPK signaling pathway that regulates cell proliferation and survival. Core component of th
DIRAS2,Q96HU8,ambiguous,med,False,,Displays low GTPase activity and exists predominantly in the GTP-bound form..
RRAS,P10301,active,high,False,,"GTP-binding protein with GTPase activity, likely involved in the regulation of MAPK signaling pathway and thereby contro"
RIT2,Q99578,active,high,False,,Binds and exchanges GTP and GDP. Binds and modulates the activation of POU4F1 as gene expression regulator..
DIRAS1,O95057,ambiguous,med,False,,Displays low GTPase activity and exists predominantly in the GTP-bound form..
RAB17,Q9H0T7,active,high,False,,"The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles"
RAB33B,Q9H082,active,high,False,,"The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles"
RAB25,P57735,active,high,False,,"The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles"
RAB33A,Q14088,ambiguous,med,False,,"The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles"
RAB24,Q969Q5,ambiguous,low,False,,"The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles"
RAB6D,Q53S08,ambiguous,low,False,,"The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles"
RAB27B,O00194,active,high,False,,"The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles"
CRACR2A,Q9BSW2,active,med,False,,[Isoform 1]: Ca(2+)-binding protein that plays a key role in store-operated Ca(2+) entry (SOCE) in T-cells by regulating
RAB6C,Q9H0N0,ambiguous,med,False,,"The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles"
RAB27A,P51159,active,high,False,,"The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles"
RERG,Q96A58,active,high,False,,Binds GDP/GTP and possesses intrinsic GTPase activity. Has higher affinity for GDP than for GTP..
RHEB,Q15382,active,high,False,,"Small GTPase that acts as an allosteric activator of the canonical mTORC1 complex, an evolutionarily conserved central n"
RAB7B,Q96AH8,active,high,False,,Controls vesicular trafficking from endosomes to the trans-Golgi network (TGN). Acts as a negative regulator of TLR9 sig
RHEBL1,Q8TAI7,active,high,False,,Binds GTP and exhibits intrinsic GTPase activity (By similarity). May activate NF-kappa-B-mediated gene transcription. P
RAB34,Q9BZG1,active,high,False,,"The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles"
RAB36,O95755,ambiguous,low,False,,"The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles"
RAB44,Q7Z6P3,active,high,False,,"The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles"
RAB42,Q8N4Z0,ambiguous,med,False,,"The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles"
RAB40A,Q8WXH6,active,high,False,,RAB40A small GTPase acts as substrate-recognition component of the ECS(RAB40A) E3 ubiquitin ligase complex which mediate
RAB40AL,P0C0E4,ambiguous,med,False,,May act as substrate-recognition component of the ECS(RAB40) E3 ubiquitin ligase complex which mediates the ubiquitinati
RAB40B,Q12829,active,high,False,,RAB40B small GTPase acts as substrate-recognition components of the ECS(RAB40B) E3 ubiquitin ligase complex which mediat
RHOT1,Q8IXI2,active,high,False,,Atypical mitochondrial nucleoside-triphosphatase (NTPase) involved in mitochondrial trafficking. Probably involved in co
RAB29,O14966,active,high,False,,"The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles"
RAB40C,Q96S21,active,high,False,,RAB40C small GTPase acts as substrate-recognition component of the ECS(RAB40C) E3 ubiquitin ligase complex which mediate
DNAJC27,Q9NZQ0,active,high,False,,GTPase which can activate the MEK/ERK pathway and induce cell transformation when overexpressed. May act as a nuclear sc
RAB38,P57729,ambiguous,med,False,,"The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles"
REM1,O75628,ambiguous,low,False,,Promotes endothelial cell sprouting and actin cytoskeletal reorganization. May be involved in angiogenesis. May function
RABL2A,Q9UBK7,active,high,False,,"Small GTPase that plays an essential role in male fertility, sperm intra-flagellar transport, and tail assembly. Binds, "
GEM,P55040,inactive,high,False,"GTPase undetectable, but GTP-binding activity is confirmed; describes real activity","Could be a regulatory protein, possibly participating in receptor-mediated signal transduction at the plasma membrane. H"
RABL2B,Q9UNT1,active,high,False,,Small GTPase required for ciliation. Activated in a guanine nucleotide exchange factor (GEF)-independent manner via its 
ERAS,Q7Z444,active,high,False,,Ras proteins bind GDP/GTP and possess intrinsic GTPase activity. Plays an important role in the tumor-like growth proper
RAB32,Q13637,active,high,False,,"The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles"
RHOT2,Q8IXI1,active,high,False,,Atypical mitochondrial nucleoside-triphosphatase (NTPase) involved in mitochondrial trafficking. Probably involved in co
RASD2,Q96D21,active,high,False,,GTPase signaling protein that binds to and hydrolyzes GTP. Regulates signaling pathways involving G protein-coupled rece
RAN,P62826,active,high,False,,"GTPase involved in nucleocytoplasmic transport, participating both to the import and the export from the nucleus of prot"
REM2,Q8IYK8,active,high,False,,Binds GTP saturably and exhibits a low intrinsic rate of GTP hydrolysis..
RAB28,P51157,active,high,False,,"The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles"
RRAD,P55042,active,med,False,,May regulate basal voltage-dependent L-type Ca(2+) currents and be required for beta-adrenergic augmentation of Ca(2+) i
RHOBTB2,Q9BYZ6,inactive,high,False,No statement this protein lacks its own catalytic activity,"Regulator of cell proliferation and apoptosis. It likely functions as a substrate-adapter that recruits key substrates, "
RASD1,Q9Y272,inactive,high,False,No statement this GTPase lacks its own GTPase activity,Small GTPase. Negatively regulates the transcription regulation activity of the APBB1/FE65-APP complex via its interacti
IFT27,Q9BW83,active,high,False,,Small GTPase-like component of the intraflagellar transport (IFT) complex B that promotes the exit of the BBSome complex
RASL11A,Q6T310,inactive,med,False,,Regulator of rDNA transcription. Acts in cooperation UBF/UBTF and positively regulates RNA polymerase I transcription (B
RAB20,Q9NX57,active,high,False,,"The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles"
NKIRAS2,Q9NYR9,active,med,False,,Atypical Ras-like protein that acts as a potent regulator of NF-kappa-B activity by preventing the degradation of NF-kap
NKIRAS1,Q9NYS0,ambiguous,low,False,,Atypical Ras-like protein that acts as a potent regulator of NF-kappa-B activity by preventing the degradation of NF-kap
RASL10A,Q92737,ambiguous,med,False,,Potent inhibitor of cellular proliferation..
RERGL,Q9H628,ambiguous,low,False,,Binds GDP/GTP and may possess intrinsic GTPase activity..
ARL8B,Q9NVJ2,active,high,False,,"Small GTPase which cycles between active GTP-bound and inactive GDP-bound states. In its active state, binds to a variet"
ARL8A,Q96BM9,ambiguous,med,False,,"Plays a role in lysosome motility (By similarity). In neurons, mediates the anterograde axonal long-range transport of p"
RASL10B,Q96S79,ambiguous,high,False,,May facilitate the release of atrial natriuretic peptide by cardiomyocytes and hence play a role in the regulation of ar
AGAP1,Q9UPQ3,active,high,False,,"GTPase-activating protein for ARF1 and, to a lesser extent, ARF5. Directly and specifically regulates the adapter protei"
AGAP3,Q96P47,ambiguous,med,False,,GTPase-activating protein for the ADP ribosylation factor family (Potential). GTPase which may be involved in the degrad
AGAP2,Q99490,active,high,False,,"GTPase-activating protein (GAP) for ARF1 and ARF5, which also shows strong GTPase activity. Isoform 1 participates in th"
RABL3,Q5HYI8,active,high,False,,"Small GTPase required for KRAS signaling regulation and modulation of cell proliferation. Regulator of KRAS prenylation,"
ARL6,Q9H0F7,ambiguous,low,False,,Involved in membrane protein trafficking at the base of the ciliary organelle. Mediates recruitment onto plasma membrane
CPLANE2,Q9BU20,inactive,high,False,No statement of loss/lack of catalytic activity for this protein,"Required for efficient primary cilia initiation, regulating a late step in cilia initiation. Plays a role in the final m"
RABL6,Q3YEC7,ambiguous,med,False,,Small GTPase involved in the regulation of cell growth and survival. Promotes cellular proliferation. May reduce growth 
ARL13B,Q3SXY8,inactive,high,False,"Binds GTP but hydrolysis ability unclear, not explicitly stated inactive","Cilium-specific protein required to control the microtubule-based, ciliary axoneme structure. May act by maintaining the"
IFT22,Q9H7X7,ambiguous,low,False,,Small GTPase-like component of the intraflagellar transport (IFT) complex B..
RRAGA,Q7L523,ambiguous,low,False,,Guanine nucleotide-binding protein that plays a crucial role in the cellular response to amino acid availability through
RRAGB,Q5VZM2,ambiguous,low,False,,Guanine nucleotide-binding protein that plays a crucial role in the cellular response to amino acid availability through
ARHGAP5,Q13017,active,high,False,,GTPase-activating protein for Rho family members..
RHOBTB3,O94955,active,high,False,,Rab9-regulated ATPase required for endosome to Golgi transport. Involved in transport vesicle docking at the Golgi compl
MTIF2,P46199,active,high,False,,Mitochondrial translation initiation factor that promotes binding of formylmethionyl-tRNA to the 30S ribosomal subunits 
ERAL1,O75616,ambiguous,med,False,,Probable GTPase that plays a role in the mitochondrial ribosomal small subunit assembly. Specifically binds the 12S mito
DYNC1LI1,Q9Y6G9,inactive,high,True,Described as a non-catalytic accessory component of dynein complex,Acts as one of several non-catalytic accessory components of the cytoplasmic dynein 1 complex that are thought to be inv
SRPRB,Q9Y5M8,ambiguous,low,False,,"Component of the signal recognition particle (SRP) complex receptor (SR) (By similarity). Ensures, in conjunction with t"
GUF1,Q8N442,active,med,False,,"Promotes mitochondrial protein synthesis. May act as a fidelity factor of the translation reaction, by catalyzing a one-"
RRAGD,Q9NQL2,ambiguous,low,False,,Guanine nucleotide-binding protein that plays a crucial role in the cellular response to amino acid availability through
RRAGC,Q9HB90,ambiguous,low,False,,Guanine nucleotide-binding protein that plays a crucial role in the cellular response to amino acid availability through
ARL16,Q0P5N6,ambiguous,med,False,,"Required for the trafficking of ciliary proteins IFT140 and INPP5E from the Golgi to the cilia, thus playing a role in c"
GTPBP4,Q9BZE4,ambiguous,low,False,,"Involved in the biogenesis of the 60S ribosomal subunit. Acts as a TP53 repressor, preventing TP53 stabilization and cel"
MFHAS1,Q9Y4C4,ambiguous,med,False,,Probable GTP-binding protein. Functions in innate immunity and more specifically the inflammatory response as a regulato
SEPTIN2,Q15019,active,high,False,,"Filament-forming cytoskeletal GTPase. Forms a filamentous structure with SEPTIN12, SEPTIN6, SEPTIN2 and probably SEPTIN4"
SEPTIN9,Q9UHD8,ambiguous,med,False,,Filament-forming cytoskeletal GTPase (By similarity). May play a role in cytokinesis (Potential). May play a role in the
F13A1,P00488,active,high,False,,Factor XIII is activated by thrombin and calcium ion to a transglutaminase that catalyzes the formation of gamma-glutamy
TGM1,P22735,active,high,False,,Catalyzes the cross-linking of proteins and the conjugation of polyamines to proteins. Responsible for cross-linking epi
TGM5,O43548,active,high,False,,Catalyzes the cross-linking of proteins and the conjugation of polyamines to proteins. Contributes to the formation of t
TGM7,Q96PF1,active,high,False,,Catalyzes the cross-linking of proteins and the conjugation of polyamines to proteins.
TGM6,O95932,active,high,False,,Catalyzes the cross-linking of proteins and the conjugation of polyamines to proteins..
TGM3,Q08188,active,high,False,,Catalyzes the calcium-dependent formation of isopeptide cross-links between glutamine and lysine residues in various pro
TGM2,P21980,active,high,False,,Calcium-dependent acyltransferase that catalyzes the formation of covalent bonds between peptide-bound glutamine and var
TGM4,P49221,active,high,False,,Associated with the mammalian reproductive process. Catalyzes the cross-linking of proteins and the conjugation of polya
EPB42,P16452,ambiguous,low,False,,"Component of the ankyrin-1 complex, a multiprotein complex involved in the stability and shape of the erythrocyte membra"
DHRS4,Q9BTZ2,active,high,False,,NADPH-dependent oxidoreductase which catalyzes the reduction of a variety of compounds bearing carbonyl groups including
DHRS2,Q13268,ambiguous,med,False,,NADPH-dependent oxidoreductase which catalyzes the reduction of dicarbonyl compounds. Displays reductase activity in vit
CBR4,Q8N4T8,active,high,False,,Component of the heterotetramer complex KAR (3-ketoacyl-[acyl carrier protein] reductase or 3-ketoacyl-[ACP] reductase) 
PECR,Q9BY49,active,high,False,,Participates in chain elongation of fatty acids. Catalyzes the reduction of trans-2-enoyl-CoAs of varying chain lengths 
HSD17B8,Q92506,active,high,False,,Required for the solubility and assembly of the heterotetramer 3-ketoacyl-[acyl carrier protein] (ACP) reductase functio
HSD17B10,Q99714,active,high,False,,"Mitochondrial dehydrogenase involved in pathways of fatty acid, branched-chain amino acid and steroid metabolism. Acts a"
DHRS11,Q6UWP2,active,high,False,,"Catalyzes the conversion of the 17-keto group of estrone, 4- and 5-androstenes and 5-alpha-androstanes into their 17-bet"
DECR1,Q16698,active,med,False,,Auxiliary enzyme in the beta-oxidation of mono- and polyunsaturated fatty acids (Probable). Together with the Enoyl-CoA 
DCXR,Q7Z4W1,active,high,False,,"Catalyzes the NADPH-dependent reduction of several pentoses, tetroses, trioses, alpha-dicarbonyl compounds and L-xylulos"
DHRS4L1,P0CG22,ambiguous,low,False,,Putative oxidoreductase..
HSD17B14,Q9BPX1,active,high,False,,"Catalyzes the NAD(+)-dependent oxidation of L-fucose, yielding L-fucono-1,5-lactone, which rapidly converts spontaneousl"
HPGD,P15428,active,high,False,,Catalyzes the NAD-dependent dehydrogenation (oxidation) of a broad array of hydroxylated polyunsaturated fatty acids (ma
DHRS4L2,Q6PKH6,ambiguous,low,False,,Probable oxidoreductase..
DECR2,Q9NUI1,active,high,False,,Auxiliary enzyme of beta-oxidation. Participates in the degradation of unsaturated fatty enoyl-CoA esters having double 
BDH2,Q9BUT1,active,high,False,,NAD(H)-dependent dehydrogenase/reductase with a preference for cyclic substrates (By similarity). Catalyzes stereoselect
DHRS7B,Q6IAN0,active,high,False,,Reductase required for adipogenesis and activation of PPARG nuclear receptor. Can convert acyl and alkyl dihydroxyaceton
DHRS7,Q9Y394,active,high,False,,NADPH-dependent oxidoreductase which catalyzes the reduction of a variety of compounds bearing carbonyl groups including
RDH14,Q9HBH5,active,high,False,,"Retinol dehydrogenase with a clear preference for NADP. Displays high activity towards 9-cis, 11-cis and all-trans-retin"
SPR,P35270,active,high,False,,"Catalyzes the final one or two reductions in tetra-hydrobiopterin biosynthesis to form 5,6,7,8-tetrahydrobiopterin."
KDSR,Q06136,active,high,False,,"Catalyzes the reduction of 3'-oxosphinganine (3-ketodihydrosphingosine/KDS) to sphinganine (dihydrosphingosine/DHS), the"
DHRS1,Q96LJ7,ambiguous,med,False,,"NADPH-dependent oxidoreductase which catalyzes the reduction of steroids (estrone, androstene-3,17-dione and cortisone) "
RDH11,Q8TC12,active,high,False,,"Retinol dehydrogenase with a clear preference for NADP. Displays high activity towards 9-cis, 11-cis and all-trans-retin"
RDH12,Q96NR8,active,high,False,,"Retinoids dehydrogenase/reductase with a clear preference for NADP. Displays high activity towards 9-cis, 11-cis and all"
RDH13,Q8NBN7,active,high,False,,"Retinol dehydrogenase with a clear preference for NADP. Oxidizes all-trans-retinol, but seems to reduce all-trans-retina"
DHRS13,Q6UX07,ambiguous,low,False,,Putative oxidoreductase..
HSD17B11,Q8NBQ5,active,high,False,,"Can convert androstan-3-alpha,17-beta-diol (3-alpha-diol) to androsterone in vitro, suggesting that it may participate i"
HSD17B13,Q7Z5P4,ambiguous,med,False,,"Plays a pivotal role in hepatic lipid metabolism. In vitro, it catalyzes the oxidation of a variety of lipid substrates,"
HSDL2,Q6YN16,inactive,high,True,Explicitly states no steroid dehydrogenase activity for this protein,Has apparently no steroid dehydrogenase activity. Controls bile acid (BA) and lipid metabolism in response to nutritiona
DHRS7C,A6NNS2,active,high,False,,NADH-dependent oxidoreductase which catalyzes the oxidation of all-trans-retinol to all-trans-retinal. Plays a role in t
RDH8,Q9NYR8,active,high,False,,Retinol dehydrogenase with a clear preference for NADP. Converts all-trans-retinal to all-trans-retinol. May play a role
DHRSX,Q8N5I4,active,high,False,,Oxidoreductase that plays a key role in early steps of protein N-linked glycosylation by mediating two non-consecutive s
HSD17B12,Q53GQ0,active,high,False,,Catalyzes the second of the four reactions of the long-chain fatty acids elongation cycle. This endoplasmic reticulum-bo
HSD17B3,P37058,active,high,False,,Catalyzes the conversion of 17-oxosteroids to 17beta-hydroxysteroids. Favors the reduction of androstenedione to testost
SDR16C5,Q8N3Y7,active,high,False,,Oxidoreductase with strong preference for NAD. Active in both the oxidative and reductive directions. Oxidizes all-trans
DHRS3,O75911,active,high,False,,Catalyzes the reduction of all-trans-retinal to all-trans-retinol in the presence of NADPH..
RDH16,O75452,active,high,False,,"Oxidoreductase with a preference for NAD. Oxidizes all-trans-retinol, 9-cis-retinol, 11-cis-retinol and 13-cis-retinol t"
CBR3,O75828,active,high,False,,Catalyzes the NADPH-dependent reduction of carbonyl compounds to their corresponding alcohols. Has low NADPH-dependent o
RDH5,Q92781,active,high,False,,"Catalyzes the oxidation of cis-isomers of retinol, including 11-cis-, 9-cis-, and 13-cis-retinol in an NAD-dependent man"
HSD11B1,P28845,active,high,False,,"Controls the reversible conversion of biologically active glucocorticoids such as cortisone to cortisol, and 11-dehydroc"
HSD17B1,P14061,active,high,False,,"Favors the reduction of estrogens and androgens. Converts estrone (E1) to a more potent estrogen, 17beta-estradiol (E2)."
RDH10,Q8IZV5,active,high,False,,Retinol dehydrogenase with a clear preference for NADP. Converts all-trans-retinol to all-trans-retinal. Has no detectab
HSD17B6,O14756,active,high,False,,NAD-dependent oxidoreductase with broad substrate specificity that shows both oxidative and reductive activity (in vitro
HSD17B2,P37059,active,high,False,,"Catalyzes the NAD-dependent oxidation of the highly active 17beta-hydroxysteroids, such as estradiol (E2), testosterone "
WWOX,Q9NZC7,ambiguous,med,False,,Putative oxidoreductase. Acts as a tumor suppressor and plays a role in apoptosis. Required for normal bone development 
SDR9C7,Q8NEX9,active,high,False,,Plays a crucial role in the formation of the epidermal permeability barrier. Catalyzes the NAD+-dependent dehydrogenatio
CBR1,P16152,active,high,False,,NADPH-dependent reductase with broad substrate specificity. Catalyzes the reduction of a wide variety of carbonyl compou
DHRS9,Q9BPW9,active,high,False,,3-alpha-hydroxysteroid dehydrogenase that converts 3-alpha-tetrahydroprogesterone (allopregnanolone) to dihydroxyprogest
HSD17B7,P56937,active,high,False,,Bifunctional enzyme involved in steroid-hormone metabolism and cholesterol biosynthesis. Catalyzes the NADP(H)-dependent
DHRS12,A0PJE2,ambiguous,low,False,,Putative oxidoreductase..
HSD11B1L,Q7Z5J1,active,high,False,,Unidirectional NADP(+)-dependent cortisol dehydrogenase (in vitro)..
HSD11B2,P80365,active,high,False,,"Catalyzes the conversion of biologically active 11beta-hydroxyglucocorticoids (11beta-hydroxysteroid) such as cortisol, "
TRUB1,Q8WWH5,active,high,False,,Pseudouridine synthase that catalyzes pseudouridylation of mRNAs and tRNAs. Mediates pseudouridylation of mRNAs with the
DKC1,O60832,active,high,False,,"[Isoform 1]: Catalytic subunit of H/ACA small nucleolar ribonucleoprotein (H/ACA snoRNP) complex, which catalyzes pseudo"
TRUB2,O95900,active,high,False,,Minor enzyme contributing to the isomerization of uridine to pseudouridine (pseudouridylation) of specific mitochondrial
UPB1,Q9UBR1,active,high,False,,Catalyzes a late step in pyrimidine degradation. Converts N-carbamoyl-beta-alanine (3-ureidopropanoate) into beta-alanin
NIT2,Q9NQR4,active,high,False,,Has omega-amidase activity. The role of omega-amidase is to remove potentially toxic intermediates by converting 2-oxogl
NIT1,Q86X76,active,high,False,,"Catalyzes the hydrolysis of the amide bond in N-(4-oxoglutarate)-L-cysteinylglycine (deaminated glutathione), a metaboli"
VNN1,O95497,active,high,False,,Amidohydrolase that hydrolyzes specifically one of the carboamide linkages in D-pantetheine thus recycling pantothenic a
VNN2,O95498,active,high,False,,Amidohydrolase that hydrolyzes specifically one of the carboamide linkages in D-pantetheine thus recycling pantothenic a
BTD,P43251,active,high,False,,"Catalytic release of biotin from biocytin, the product of biotin-dependent carboxylases degradation.."
PGK1,P00558,active,high,False,,"Catalyzes one of the two ATP producing reactions in the glycolytic pathway via the reversible conversion of 1,3-diphosph"
PGK2,P07205,active,high,False,,"Catalyzes the reversible conversion of 1,3-diphosphoglycerate to 3-phosphoglycerate and plays a role in glycolysis and g"
NDUFS1,P28331,active,high,False,,Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) which catalyzes electron tra
TKTL2,Q9H0I9,ambiguous,med,False,,Plays an essential role in total transketolase activity and cell proliferation in cancer cells; after transfection with 
TKTL1,P51854,active,high,False,,"Catalyzes the transfer of a two-carbon ketol group from a ketose donor to an aldose acceptor, via a covalent intermediat"
TKT,P29401,active,high,False,,"Catalyzes the transfer of a two-carbon ketol group from a ketose donor to an aldose acceptor, via a covalent intermediat"
PDHB,P11177,active,high,False,,Together with PDHA1 forms the heterotetrameric E1 subunit of the pyruvate dehydrogenase (PDH) complex. The PDH complex c
BCKDHB,P21953,active,high,False,,Together with BCKDHA forms the heterotetrameric E1 subunit of the mitochondrial branched-chain alpha-ketoacid dehydrogen
PNP,P00491,active,high,False,,"Catalyzes the phosphorolytic breakdown of the N-glycosidic bond in the beta-(deoxy)ribonucleoside molecules, with the fo"
MTAP,Q13126,active,high,False,,Catalyzes the phosphorolytic cleavage of S-methyl-5'-thioadenosine (MTA) to adenine and 5-methylthioribose1-phosphate. I
CASP1,P29466,active,high,False,,"Thiol protease involved in a variety of inflammatory processes by proteolytically cleaving other proteins, such as the p"
CASP4,P49662,active,high,False,,Inflammatory caspase that acts as the effector of the non-canonical inflammasome by mediating lipopolysaccharide (LPS)-i
CASP5,P51878,active,high,False,,"Thiol protease that acts as a mediator of programmed cell death. Initiates pyroptosis, a programmed lytic cell death pat"
CASP9,P55211,active,high,False,,Involved in the activation cascade of caspases responsible for apoptosis execution. Binding of caspase-9 to Apaf-1 leads
CASP12,Q6UXS9,ambiguous,high,False,,May function as a negative regulator of inflammatory responses and innate immunity. May reduce cytokine release in respo
CASP2,P42575,ambiguous,med,False,,Is a regulator of the cascade of caspases responsible for apoptosis execution. Might function by either activating some 
CASP6,P55212,active,high,False,,"Cysteine protease that plays essential roles in programmed cell death, axonal degeneration, development and innate immun"
CASP3,P42574,active,high,False,,Thiol protease that acts as a major effector caspase involved in the execution phase of apoptosis. Following cleavage an
CASP8,Q14790,active,high,False,,"Thiol protease that plays a key role in programmed cell death by acting as a molecular switch for apoptosis, necroptosis"
